k,cluster,positive_coverage,positive_prevalence,background_prevalence,enrichment,fisher_p,medoid_structure_idx,medoid_site_idx,fdr_q,medoid_formula,center_type,geo_nX_available,geo_radial_cv,geo_planarity_ratio,geo_best_m,geo_best_psi,geo_psi6,geo_psi2,geo_psi3,geo_psi4,geo_psi5,geo_psi7,geo_psi8,geo_psi9,geo_psi10
64,26,0,0.0,0.02531645569620253,3.949843981162744e-05,1.0,561,58,1.0,M2Me5,X,6,0.02884479319497215,0.17247087512655676,6,0.8852048096189663,0.8852048096189663,0.11595335325403164,0.009893606290743274,0.20941268397654209,0.04305452819133262,0.04622978665004016,0.4614285341889849,0.07495709554508397,0.42201043722692044
64,27,0,0.0,0.012658227848101266,7.899375949300006e-05,1.0,231,12,1.0,MMe3,X,6,0.1462178383263193,0.20544865871872203,5,0.5332808386525878,0.46212679558377584,0.26557328368062594,0.5060591461163684,0.42254823068031866,0.5332808386525878,0.21606886457065616,0.24199545466500313,0.2098872127600601,0.5276037553894177
64,28,0,0.0,0.02531645569620253,3.949843981162744e-05,1.0,50,14,1.0,MMe2,M,6,0.3254557506957622,0.12073420857522019,7,0.6385199935947742,0.16894357896679543,0.22360521694652014,0.10742471389848353,0.5024767323670164,0.11182485098813762,0.6385199935947742,0.07640666808642647,0.23786122794157272,0.26136985859817397
64,29,0,0.0,0.07172995780590717,1.394098211689637e-05,1.0,552,23,1.0,MMe2,X,6,0.03560605619964715,0.20471286981438577,7,0.5872251916722012,0.32409753151664145,0.18907063986054395,0.16795190194155196,0.48594154320484173,0.534696409589222,0.5872251916722012,0.4644947902897347,0.4591769858851486,0.5021006612177937
64,30,0,0.0,0.0970464135021097,1.0304241647596935e-05,1.0,268,6,1.0,MMe2,M,6,0.014380925299689144,0.24315948920560065,4,0.48664380557314707,0.4580139647420301,0.17477515597776883,0.15980751139082383,0.48664380557314707,0.4117704535466366,0.31665038742029283,0.3606171666168624,0.2140047706264772,0.44903699444397194
64,31,0,0.0,0.040787623066104076,2.4516640298922326e-05,1.0,468,8,1.0,MMe2,X,6,0.06242173847537793,0.15057526736965504,6,0.6043851692960222,0.6043851692960222,0.16208256323812983,0.1403013300399309,0.4283155511846119,0.5607210187648027,0.5275096295271935,0.22772770110603485,0.4515959119895994,0.20189525133897546
64,32,1,0.14285714285714285,0.05063291139240506,2.8213925989247426,0.3106111881283556,413,8,1.0,MMe5,X,6,0.040888460852841785,0.24231477592526926,7,0.6249996806484079,0.5965523572219521,0.19616414815723607,0.11484392431441459,0.40089596838381863,0.4286423667775609,0.6249996806484079,0.38878219560485694,0.3230214365759027,0.26953291890700826
64,33,0,0.0,0.029535864978902954,3.3855996589829744e-05,1.0,720,9,1.0,MMe4,X,6,0.02132119289388327,0.2824801069974733,10,0.5660012494057801,0.16702967018793927,0.2540007623478442,0.4739492039584248,0.47159962990108706,0.18413739474945792,0.3098512153826096,0.1345576758128351,0.25081686326707187,0.5660012494057801
64,34,0,0.0,0.009845288326300985,0.00010156111286410765,1.0,682,8,1.0,MMe3,M,6,0.1657615430009497,0.23596398713784017,6,0.6418143057070962,0.6418143057070962,0.15327437799013058,0.11956909771527637,0.363597373601024,0.15766437102422437,0.3883943776518094,0.23297728547185137,0.5382006560895081,0.5583879239979043
64,35,0,0.0,0.008438818565400843,0.00011848595941380948,1.0,312,7,1.0,M2Me3,M,6,0.03555883631826514,0.1776996715501493,10,0.693621889626977,0.5668928445051216,0.2541905834115344,0.18643770523051648,0.1918713247806803,0.3200061338710471,0.11757830412921838,0.34449183625745844,0.3568816158816233,0.693621889626977
64,36,1,0.14285714285714285,0.03234880450070324,4.41604346802273,0.21258587972486193,613,2,1.0,MMe4,X,6,0.02023937296376967,0.18232274599476078,6,0.7007942062261638,0.7007942062261638,0.20304492415017997,0.2135224008956099,0.427169918500073,0.5540400772653775,0.14536142243364197,0.4177166413351848,0.29461158800222553,0.1703792243809805
64,37,0,0.0,0.11251758087201125,8.887421013045747e-06,1.0,8,2,1.0,MMe,X,6,0.019992751393381653,0.17216766501821965,10,0.9429391883359517,0.7902163633660892,0.3074728689772122,0.19521552125567615,0.8026912696307604,0.3377806151479164,0.10629139666946902,0.30297902981169905,0.44825796743398066,0.9429391883359517
64,38,0,0.0,0.016877637130801686,5.9246489645488504e-05,1.0,615,84,1.0,M2Me3,X,6,0.030070900355858583,0.15879764680251923,7,0.7642731751922515,0.21900631904093068,0.48506505059839855,0.09296889392379126,0.19909061925272373,0.3585792739055792,0.7642731751922515,0.5201478998756957,0.47057961699666395,0.3447317822722504
64,39,0,0.0,0.08016877637130802,1.2473528619669321e-05,1.0,91,35,1.0,MMe2,X,6,0.008403232508784447,0.1921719381431094,6,0.7825175105359218,0.7825175105359218,0.19449557503049764,0.28635531060792774,0.4711721349129034,0.19783658694512932,0.48759942336857387,0.4705780321737848,0.04466210651601113,0.37883060822910497
64,40,0,0.0,0.009845288326300985,0.00010156111286410765,1.0,614,26,1.0,M2Me3,M,6,0.015520114543694037,0.2831097791872281,6,0.9927744366056233,0.9927744366056233,0.028212057622630154,7.49343429207797e-16,0.05720532477814733,5.570356481073612e-16,3.52057227637952e-16,0.11065503117546834,9.82658880625699e-16,0.14414676195562404
64,41,1,0.14285714285714285,0.02390998593530239,5.974581861395595,0.16346034704206552,521,6,1.0,MMe3,X,6,0.021089198541208082,0.18230216916675737,6,0.7114482605043951,0.7114482605043951,0.20928272665105166,0.193183221565576,0.43937753809473895,0.5387570572005237,0.12930400785527812,0.4873078879973174,0.2631338581909762,0.23500400563392165
