material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold
mp-28112,In5Cl9,18,1,1,1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,False,False
mp-28988,In7Br9,36,1,1,1,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,False,False
mp-28730,In7Cl9,36,1,1,1,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,False,False
mp-568108,InBr2,16,1,1,1,0.0,1.125,1.0,0.0,0.0,0.0,0.0,False,False
mp-570219,InBr3,6,1,1,-1,1.0,6.0,6.0,0.983831753323908,0.0270131207945246,0.9568186325293835,36.42051434217571,True,True
mp-22870,InBr,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-23276,InCl,32,1,1,1,0.0,1.6875,2.0,0.0,0.0,0.0,0.0,False,False
mp-571555,InCl,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-571636,InCl,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-6949,InF3,6,1,1,1,1.0,6.0,6.0,0.9625131609592726,0.06848793938026333,0.8940252215790093,14.05376143112063,True,True
mp-29312,InI2,16,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-567789,InI3,12,1,2,-2,1.0,6.0,6.0,0.9835164234441537,0.0224275684467458,0.9610888549974079,43.85301178678869,True,True
mp-23202,InI,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-27397,IrBr3,6,1,-1,1,1.0,6.0,6.0,0.9707544232892157,0.03167624859782692,0.9390781746913888,30.64612971107356,True,True
mp-27666,IrCl3,6,2,-1,-1,1.0,6.0,6.0,0.9684478141076642,0.02662072172369526,0.941827092383969,36.379472508652654,True,True
mp-568208,IrCl3,12,1,-1,3,1.0,6.0,6.0,0.9708051489746093,0.04106297557852134,0.929742173396088,23.64186071022103,True,True
mp-2437,IrF3,6,3,3,1,1.0,6.0,6.0,0.7084185148813876,0.0358118483361145,0.6726066665452731,19.781679745554552,True,True
