material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-31040,NbCl4_mp-31040.cif,NbCl4,10,2.3196078448647626,0.9380585551261902,80.16877637130801,False
mp-25469,AlCl3_mp-25469.cif,AlCl3,8,2.324805624893167,0.9380550980567932,80.028129395218,True
mp-7456,SnF2_mp-7456.cif,SnF2,12,2.096287703946258,0.9379478096961975,80.028129395218,False
mp-620029,MoCl2_mp-620029.cif,MoCl2,36,2.4796224218160274,0.9379381537437439,79.88748241912799,False
mp-568245,NbBr5_mp-568245.cif,NbBr5,12,2.4594627802843423,0.9375147223472595,79.46554149085794,False
mp-570997,RuCl3_mp-570997.cif,RuCl3,24,2.3768968409844335,0.937308132648468,79.18424753867792,False
mp-29950,Nb3Cl8_mp-29950.cif,Nb3Cl8,22,2.4468702265719298,0.9370983242988586,79.0436005625879,False
mp-610430,BiBr3_mp-610430.cif,BiBr3,16,2.7445677834538085,0.9369823932647705,78.76230661040788,False
mp-540672,Ti7Br16_mp-540672.cif,Ti7Br16,46,2.5193821564817274,0.9367249608039856,78.62165963431787,False
mp-1203015,TaBr5_mp-1203015.cif,TaBr5,36,2.4484594450246284,0.9365845918655396,78.48101265822784,False
mp-974434,RuF4_mp-974434.cif,RuF4,10,1.8374457360486696,0.936505913734436,78.34036568213783,False
mp-980949,WCl4_mp-980949.cif,WCl4,10,2.292652868483823,0.9363673329353333,78.19971870604782,False
mp-28214,TiBr3_mp-28214.cif,TiBr3,8,2.536421632368391,0.9362980127334595,77.91842475386778,False
mp-29555,MoBr2_mp-29555.cif,MoBr2,36,2.6148909127081392,0.9361516237258911,77.77777777777779,False
mp-554340,CrF2_mp-554340.cif,CrF2,6,1.9787751482771665,0.9361003637313843,77.63713080168776,False
mp-669496,PtI4_mp-669496.cif,PtI4,40,2.669015274418829,0.9351766705513,77.35583684950772,False
mp-29498,WBr2_mp-29498.cif,WBr2,36,2.6391602650320465,0.9351312518119812,77.21518987341773,False
mp-570989,UCl5_mp-570989.cif,UCl5,24,2.466156082122259,0.9351205825805664,77.0745428973277,False
mp-1198690,MoI2_mp-1198690.cif,MoI2,36,2.7919367398397013,0.9351144433021545,76.93389592123769,False
mp-1080821,BaF3_mp-1080821.cif,BaF3,8,2.325077200031214,0.9349014163017273,76.79324894514767,False
mp-21208,RhF3_mp-21208.cif,RhF3,12,1.9786261988624725,0.9346311688423157,76.65260196905767,False
mp-23238,Ta3I7_mp-23238.cif,Ta3I7,40,2.813263653883056,0.9343751072883606,76.37130801687763,False
mp-27455,YCl3_mp-27455.cif,YCl3,8,2.647831495067037,0.9343647956848145,76.23066104078762,False
