formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula
ThI3,56.61252900232019,38.97911832946635,73.78190255220419,57.656612529002324,0,0,6,False
Pr2I5,56.61252900232019,38.05104408352668,64.50116009280742,54.02165506573859,0,0,6,False
GaF3,56.49651972157773,54.060324825986086,71.46171693735499,58.816705336426914,0,0,6,True
Nb3Cl7,55.800464037122964,44.5475638051044,59.62877030162414,53.44160866202629,0,0,6,False
CrF3,54.75638051044084,53.1322505800464,71.22969837587007,57.656612529002324,0,0,6,False
La2I5,54.524361948955914,35.03480278422274,61.7169373549884,51.97215777262181,0,0,6,False
AgF2,54.292343387471,41.53132250580047,68.67749419953596,55.027068832173235,0,0,6,False
BiF3,53.944315545243626,24.361948955916475,68.44547563805105,52.204176334106734,0,0,6,False
ZrBr3,53.82830626450116,50.34802784222738,57.30858468677494,54.215003866976026,0,0,6,False
CdI2,53.24825986078886,43.851508120649655,58.0046403712297,51.93348801237433,0,0,6,False
TbCl3,52.5522041763341,51.27610208816705,72.38979118329466,56.10982211910286,0,0,6,False
Ce2Br5,51.972157772621806,32.94663573085847,56.8445475638051,49.651972157772626,0,0,6,False
La2Br5,51.62412993039443,31.322505800464036,55.68445475638051,48.8785769528229,0,0,6,False
Pr2Br5,51.27610208816705,30.162412993039446,56.148491879350345,48.49187935034803,0,0,6,False
YI3,50.92807424593968,43.619489559164734,70.99767981438515,53.36426914153133,0,0,6,False
CuF2,49.76798143851508,36.42691415313225,64.03712296983758,50.812064965197216,0,0,6,False
InF3,49.53596287703016,41.53132250580047,70.76566125290023,52.24284609435421,0,0,6,False
SnBr2,49.303944315545245,40.835266821345705,64.2691415313225,51.7014694508894,0,0,6,False
Cd13I28,49.30394431554524,38.74709976798144,56.8445475638051,48.29853054911059,0,0,6,False
TaCl3,49.187935034802784,20.417633410672853,55.22041763341067,40.719257540603245,0,0,6,False
NaCl3,48.25986078886311,22.2737819025522,63.80510440835266,48.414539829853055,0,0,6,False
RuF3,47.67981438515081,40.60324825986079,70.06960556844548,50.65738592420727,0,0,6,False
PuF3,46.98375870069606,22.505800464037122,62.64501160092807,47.293116782675945,0,0,6,False
NpF3,46.519721577726216,21.11368909512761,61.94895591647332,46.67440061871616,0,0,6,False
SnCl2,46.287703016241295,37.58700696055685,63.10904872389791,49.303944315545245,0,0,6,True
LaF3,46.17169373549884,20.88167053364269,61.48491879350348,46.2877030162413,0,0,6,False
FeF2,46.055684454756374,34.5707656612529,55.68445475638051,45.514307811291566,0,0,6,False
NpF4,45.243619489559165,37.81902552204176,79.58236658932715,50.42536736272235,0,0,6,False
Nb6I11,45.011600928074245,18.329466357308586,62.41299303944315,44.43155452436195,0,0,6,False
ThF4,44.5475638051044,36.89095127610209,79.81438515081206,49.7293116782676,0,0,6,False
EuF3,44.43155452436195,24.129930394431554,61.02088167053365,44.93426140757927,0,0,6,False
BiI3,44.19953596287703,39.443155452436194,69.60556844547564,47.98917246713071,0,0,6,False
Dy5Cl11,44.19953596287703,37.58700696055685,56.380510440835266,46.36504253673627,0,0,6,False
In5Cl9,43.735498839907194,19.721577726218097,65.66125290023201,45.011600928074245,0,0,6,False
Ga2I3,43.38747099767981,16.70533642691415,64.50116009280742,41.569992266047954,0,0,6,False
TmCl3,42.69141531322505,38.51508120649652,69.37354988399072,46.86774941995359,0,0,6,False
ReF7,42.459396751740144,25.290023201856147,76.79814385150812,45.243619489559165,0,0,6,False
Sm11Br24,42.343387470997676,35.498839907192576,53.36426914153132,43.92884764114462,0,0,6,False
Tm7Cl15,42.22737819025522,37.58700696055685,50.580046403712295,43.54215003866975,0,0,6,False
TiCl2,41.87935034802784,29.466357308584683,51.972157772621806,41.724671307037895,0,0,6,False
NiBr2,41.87935034802784,27.842227378190255,51.04408352668214,41.02861562258314,0,0,6,False
NpBr3,41.415313225058,30.39443155452436,67.51740139211137,44.624903325599384,0,0,6,False
CoF2,41.183294663573086,30.162412993039446,45.243619489559165,39.056457849961326,0,0,6,False
NiI2,40.95127610208817,27.610208816705335,50.34802784222738,40.2938901778809,0,0,6,False
UBr3,40.951276102088165,25.754060324825982,65.19721577726219,43.464810518174794,0,0,6,False
Sm6Br13,40.83526682134571,34.80278422273782,50.580046403712295,42.072699149265276,0,0,6,False
MnF2,40.37122969837587,26.218097447795824,43.1554524361949,36.92962103634957,0,0,6,False
GdCl3,40.25522041763341,26.218097447795824,65.89327146171694,43.348801237432326,0,0,6,False
ZnF2,40.02320185614849,24.825986078886313,43.851508120649655,36.42691415313225,0,0,6,False
DyCl3,39.907192575406036,33.17865429234338,69.83758700696056,44.50889404485692,0,0,6,False
Nd4Br9,39.791183294663576,29.930394431554525,46.8677494199536,39.17246713070379,0,0,6,False
NiCl2,39.675174013921115,26.91415313225058,49.88399071925754,39.28847641144625,0,0,6,False
IrF3,39.675174013921115,24.129930394431554,66.12529002320186,40.40989945862336,0,0,6,False
YF3,39.675174013921115,19.953596287703014,61.25290023201856,41.26063418406806,0,0,6,False
