config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
baseline,blind,ZnCl2,mp-22909,4,X,0.9643017649650574,6,"[1.6092275310833475, 1.6092276191097727, 1.6092276356427955, 1.609227661681357, 1.6732370748467567, 1.6732370834046595]",0.018505468270525707,0.17699225723866122,8,0.8989827197343573,0.5661799718277145,0.2520832356667527,4.051024478422659e-07,0.3302617144254836,6.648577809780614e-07,8.934470278083932e-07,0.8989827197343573,1.1821066302271111e-06,0.20664088094017893
baseline,blind,SnCl2,mp-29179,16,X,0.9305614233016968,6,"[1.3417326668947447, 1.3440049948579087, 1.3483905355824837, 1.348390535582484, 1.4016670454087443, 1.4056390463214632]",0.020130086812446667,0.2392969135665146,10,0.6853326874822014,0.5700067570983205,0.16225989008771619,0.18278465785791714,0.35143347198559227,0.2674933018261912,0.29510770055349744,0.4496570947551128,0.339461940700038,0.6853326874822014
medium,known,AlCl3,mp-25470,2,X,0.943669855594635,6,"[1.266964637557499, 1.2669646912092083, 1.2669646912092083, 1.333170007536183, 1.3331700585235424, 1.3331700585235426]",0.025462283867169012,0.21903229722071818,10,0.9628331899163683,0.13559947461122174,0.5064479015175506,0.04049320978573738,0.2410405124772449,0.009309583818920367,0.10094415178314234,0.6589577259094754,0.0506128626681991,0.9628331899163683
medium,known,FeCl3,mp-23204,3,X,0.9583019018173218,6,"[1.3113286432693523, 1.4279545387825416, 1.427954553782025, 1.428419491962814, 1.4284195571841742, 1.4957430359221937]",0.038373869651538516,0.18561546217886696,5,0.6588085410103797,0.6094776730749485,0.2390744647977423,0.19939998416676813,0.38431010709727376,0.6588085410103797,0.29199518493187543,0.41678154734588047,0.2891144890431299,0.20259714903583434
medium,known,GaF3,mp-588,2,X,0.9479488134384155,6,"[1.4120833031859283, 1.4120835702000134, 1.412083654239902, 1.4120836658473486, 1.4163405076922762, 1.4163405235704223]",0.0014197028749827548,0.2224143189050394,6,0.4402918315479518,0.4402918315479518,0.07628229413099509,0.2653584122287285,0.23955919047813096,0.35816956521285725,0.15593387350111754,0.263799834565166,0.13401138549697456,0.007250470737856922
medium,known,InBr3,mp-570219,2,X,0.9489279985427856,6,"[1.3743965773352869, 1.417440904796191, 1.4174409693290924, 1.4201545368816835, 1.4201545459867284, 1.4521555544329363]",0.01596705647145062,0.18917937395481393,6,0.7505095390493883,0.7505095390493883,0.2139870120319361,0.16513188181944674,0.4390614664219662,0.5226118111408069,0.0921303602982593,0.49435868341270617,0.25735712889640694,0.2939603149651223
medium,known,TaCl5,mp-29831,28,X,0.9607921838760376,6,"[1.449119139255884, 1.4495204793550105, 1.4571883720816474, 1.4573798763927237, 1.5324002704685724, 1.636460716186776]",0.04596100776005156,0.2419339861577832,7,0.6171253117747296,0.615476099450357,0.19687181900696074,0.11769749176012063,0.4074890518552543,0.4139768738656651,0.6171253117747296,0.3923565704569787,0.3150117110322066,0.2766657750185137
medium,known,ZrCl4,mp-569175,8,X,0.9704844951629639,6,"[1.5176288422171065, 1.5182404105335374, 1.5400155864699494, 1.5783501809479112, 1.6313100593032355, 1.6313100593032355]",0.03067489342753337,0.1863372309377498,6,0.8034117503918916,0.8034117503918916,0.17440191817960404,0.2974163793668624,0.5135952433678387,0.5601183698710932,0.048457795106744875,0.21997174375067666,0.0833733454540393,0.6360329424872432
medium,known,GaCl3,mp-30952,5,X,0.9999998807907104,6,"[1.7059014364744856, 1.7062686907095679, 1.7221848617802074, 1.7232752354732335, 1.751672394998303, 1.8131401616113254]",0.021452590933817173,0.1477446027284747,7,0.7894816991336051,0.30172131552058407,0.5137444178670864,0.28247808101153865,0.15015171635098595,0.7736773537944899,0.7894816991336051,0.6389434119921419,0.16320743966810533,0.34586071298850163
medium,blind,InI3,mp-567789,5,X,0.9819031953811646,6,"[1.5654070923774799, 1.6454291446234746, 1.6569518380502477, 1.675635832333438, 1.6790106763445798, 1.688324767922625]",0.024928932059050436,0.1712894900953574,6,0.9544334820819784,0.9544334820819784,0.07330467713115792,0.005075002909692535,0.13022662764369886,0.024527962760290577,0.028608945000508996,0.3118903569469693,0.024670443990036598,0.27003425030498335
