formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings
AcCl3,62.9395218002813,41.20956399437412,77.77777777777777,74.82419127988749,6
PrCl3,62.72855133614628,41.068917018284104,77.77777777777777,74.68354430379746,6
CeCl3,62.51758087201125,40.50632911392405,77.56680731364276,74.54289732770746,6
LaCl3,62.306610407876235,40.225035161744024,77.00421940928271,74.26160337552743,6
PuCl3,62.16596343178622,39.943741209563996,77.28551336146273,74.40225035161744,6
Pr2Br5,62.025316455696206,45.56962025316456,76.16033755274262,66.38537271448664,6
NpCl3,62.025316455696206,40.08438818565401,76.72292545710266,73.9803094233474,6
La2Br5,61.67369901547117,45.71026722925457,76.01969057665261,66.24472573839662,6
PdCl2,61.18143459915612,60.19690576652602,26.863572433192683,24.613220815752463,6
PtCl2,60.970464135021096,46.132208157524616,25.738396624472575,23.90998593530239,6
CdI2,60.54852320675106,56.68073136427567,39.66244725738397,37.83403656821378,6
NiCl2,60.54852320675106,53.16455696202531,45.71026722925457,37.27144866385373,6
BiF3,60.54852320675105,37.552742616033754,80.73136427566807,74.9648382559775,6
SnF3,60.47819971870605,36.9901547116737,25.87904360056259,21.659634317862167,6
CrI2,60.478199718706044,54.289732770745424,26.722925457102672,24.894514767932492,6
NiI2,60.40787623066104,55.69620253164557,45.71026722925457,36.28691983122363,6
CuBr2,60.337552742616026,58.368495077355846,26.160337552742618,25.17580872011252,6
NiBr2,60.056258790436004,56.118143459915615,42.54571026722925,35.72433192686357,6
CoBr2,59.91561181434599,54.008438818565395,47.32770745428973,37.83403656821378,6
AcBr3,59.91561181434599,39.24050632911392,77.0042194092827,74.1209563994374,6
FeBr2,59.77496483825598,54.9929676511955,48.80450070323488,39.09985935302391,6
VCl2,59.70464135021098,52.883263009845294,45.56962025316456,38.53727144866385,6
CuCl2,59.56399437412096,46.69479606188467,24.894514767932492,24.753867791842477,6
CoI2,59.353023909985936,53.30520393811533,47.39803094233474,38.39662447257383,6
VI2,59.212376933895925,54.57102672292545,47.81997187060478,38.25597749648382,6
CoCl2,59.14205344585091,52.03938115330521,44.796061884669484,38.81856540084388,6
YF3,59.071729957805914,36.56821378340366,79.39521800281294,75.24613220815752,6
FeCl2,58.57946554149086,53.727144866385366,48.59353023909986,39.66244725738397,6
MgCl2,57.59493670886076,51.33614627285513,45.991561181434605,41.35021097046413,6
PdBr2,57.45428973277075,45.9915611814346,23.347398030942333,23.066104078762308,6
ZnBr2,57.10267229254572,41.35021097046413,30.52039381153305,19.40928270042194,6
FeI2,56.89170182841069,53.30520393811533,48.734177215189874,40.787623066104075,6
TiCl2,56.89170182841069,46.41350210970464,41.701828410689174,33.0520393811533,6
GaI3,56.61040787623067,46.27285513361463,67.86216596343179,63.29113924050633,6
MnBr2,56.540084388185655,51.89873417721519,48.030942334739805,41.77215189873418,6
EuF3,56.54008438818565,35.86497890295359,79.18424753867792,73.9803094233474,6
YbF3,55.97749648382559,34.59915611814346,79.957805907173,74.40225035161744,6
VBr2,55.83684950773558,51.61744022503516,47.257383966244724,42.05344585091421,6
MnCl2,55.69620253164557,45.28832630098453,44.65541490857946,42.897327707454295,6
ZrCl2,54.922644163150494,44.163150492264414,39.45147679324894,36.708860759493675,6
MnI2,54.85232067510548,52.18002812939522,48.452883263009845,43.037974683544306,6
TiBr4,53.72714486638537,38.25597749648382,61.74402250351618,28.691983122362867,6
MgI2,53.164556962025316,50.773558368495074,46.76511954992968,45.0070323488045,6
CrCl2,52.74261603375528,28.41068917018284,26.511954992967652,23.488045007032348,6
CeF3,52.67229254571026,34.177215189873415,74.19127988748242,70.32348804500702,6
PdI2,52.60196905766526,28.129395218002813,25.457102672292542,22.362869198312236,6
NdF3,52.39099859353024,33.755274261603375,73.48804500703235,70.18284106891703,6
PtI2,52.18002812939522,28.551336146272853,24.331926863572434,21.940928270042196,6
CsBr3,52.109704641350206,22.925457102672294,20.88607594936709,17.440225035161745,6
PuF3,51.828410689170184,33.47398030942335,75.24613220815752,71.0267229254571,6
