formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings,topology_max_frac_exact6,topology_any_fallback
VF2,38.63109048723898,25.290023201856147,41.53132250580047,35.46017014694509,0,0,6,False,30.731364275668074,29.39521800281294,40.9985935302391,33.0520393811533,6.0,1.0,False
PuBr3,38.16705336426914,29.466357308584683,67.05336426914154,42.227378190255216,0,0,6,False,72.36286919831224,67.65119549929676,86.07594936708861,84.66947960618847,6.0,0.3333333333333333,True
Nb2F5,38.16705336426914,28.306264501160094,50.34802784222738,38.553750966744005,0,0,6,False,71.80028129395217,68.49507735583686,78.69198312236287,73.13642756680731,6.0,0.6,True
VCl2,38.16705336426914,27.37819025522042,48.72389791183295,38.05104408352668,0,0,6,False,59.70464135021098,52.883263009845294,45.56962025316456,38.53727144866385,6.0,1.0,True
CoI2,38.16705336426914,26.450116009280745,48.25986078886311,37.85769528228925,0,0,6,False,59.353023909985936,53.30520393811533,47.39803094233474,38.39662447257383,6.0,1.0,True
FeCl2,38.051044083526676,25.754060324825982,47.33178654292343,37.39365815931941,0,0,6,False,58.57946554149086,53.727144866385366,48.59353023909986,39.66244725738397,6.0,1.0,True
UCl3,38.051044083526676,24.593967517401392,64.73317865429235,41.41531322505801,0,0,6,False,63.78340365682138,44.0225035161744,78.76230661040788,75.52742616033755,6.0,0.0,False
PrBr3,37.93503480278422,24.825986078886313,64.50116009280742,41.41531322505801,0,0,6,False,64.48663853727146,44.44444444444444,79.39521800281294,76.65260196905767,6.0,0.0,False
SmBr3,37.935034802784216,30.8584686774942,67.74941995359629,42.343387470997676,0,0,6,False,73.20675105485232,68.35443037974683,86.70886075949367,84.9507735583685,6.0,0.3333333333333333,True
Th2Br5,37.70301624129931,26.68213457076566,49.187935034802784,37.664346481051815,0,0,6,False,70.9563994374121,68.35443037974683,78.19971870604783,72.57383966244726,6.0,0.6,True
CoCl2,37.58700696055684,27.1461716937355,48.49187935034803,37.81902552204176,0,0,6,False,59.14205344585091,52.03938115330521,44.79606188466949,38.81856540084388,6.0,1.0,True
NpI3,37.23897911832947,32.01856148491879,68.90951276102089,42.343387470997676,0,0,6,False,74.1209563994374,68.63572433192687,87.76371308016877,85.65400843881856,6.0,0.3333333333333333,True
PuI3,37.12296983758701,31.322505800464036,68.67749419953596,41.956689868522815,0,0,6,False,74.26160337552741,68.77637130801688,88.11533052039381,85.79465541490859,6.0,0.3333333333333333,True
SnI2,37.00696055684455,31.322505800464036,39.675174013921115,36.23356535189482,0,0,6,False,27.42616033755274,26.300984528832632,36.28691983122363,31.926863572433195,6.0,0.3333333333333333,True
FeI2,37.00696055684455,24.593967517401392,45.93967517401392,36.11755607115236,0,0,6,False,56.89170182841069,53.30520393811533,48.734177215189874,40.78762306610408,6.0,1.0,True
LaBr3,37.00696055684455,23.897911832946637,64.03712296983758,40.37122969837587,0,0,6,False,63.43178621659634,42.75668073136428,78.97327707454289,75.80872011251758,6.0,0.0,False
ZrBr2,36.890951276102086,21.57772621809745,45.011600928074245,35.34416086620263,0,0,6,False,46.90576652601969,36.0056258790436,38.888888888888886,36.9901547116737,6.0,0.5,True
NiF2,36.774941995359626,22.73781902552204,40.835266821345705,33.48801237432328,0,0,6,False,30.731364275668074,29.39521800281294,43.10829817158931,33.61462728551336,6.0,1.0,False
UF3,36.774941995359626,16.70533642691415,58.0046403712297,39.13379737045631,0,0,6,False,47.89029535864979,29.535864978902957,72.29254571026723,67.36990154711674,6.0,0.6666666666666666,True
MgF2,36.65893271461717,22.505800464037122,41.29930394431555,33.29466357308585,0,0,6,False,31.012658227848103,29.254571026722925,43.459915611814345,33.895921237693386,6.0,1.0,True
SrF2,36.42691415313225,34.33874709976798,52.66821345707656,41.22196442382057,0,0,6,False,28.059071729957807,26.019690576652604,33.33333333333333,31.08298171589311,6.0,1.0,True
NdCl3,36.42691415313225,23.665893271461716,64.2691415313225,40.10054137664346,0,0,6,False,63.29113924050633,42.616033755274266,78.48101265822785,74.9648382559775,6.0,0.0,False
SmF3,36.42691415313225,17.865429234338748,58.93271461716937,38.74709976798144,0,0,6,False,50.63291139240506,31.78621659634318,75.31645569620252,71.44866385372714,6.0,1.0,True
NdBr3,36.31090487238979,29.00232018561485,66.35730858468676,40.64191802010827,0,0,6,False,71.37834036568213,66.66666666666666,85.0210970464135,83.54430379746836,6.0,0.3333333333333333,True
LaI3,35.84686774941996,29.23433874709977,66.5893271461717,40.48723897911833,0,0,6,False,71.87060478199719,67.36990154711674,86.35724331926863,84.38818565400844,6.0,0.3333333333333333,True
AcCl3,35.730858468677496,23.201856148491878,63.57308584686775,39.40448569218871,0,0,6,False,62.9395218002813,41.20956399437412,77.77777777777777,74.82419127988749,6.0,0.0,False
UI3,35.382830626450115,28.538283062645007,67.28538283062645,39.945862335653516,0,0,6,False,72.92545710267228,68.21378340365682,87.34177215189874,85.23206751054853,6.0,0.3333333333333333,True
MgCl2,35.382830626450115,26.218097447795824,46.8677494199536,35.84686774941995,0,0,6,False,57.59493670886076,51.33614627285513,45.991561181434605,41.35021097046413,6.0,1.0,True
PbBr2,35.266821345707655,32.48259860788863,48.95591647331787,39.17246713070379,0,0,6,False,26.090014064697613,24.75386779184248,31.0126582278481,30.52039381153305,6.0,0.0,False
U2F9,35.266821345707655,17.865429234338748,79.11832946635731,37.81902552204176,0,0,6,False,68.70604781997187,67.08860759493672,64.0646976090014,62.16596343178622,6.0,0.3333333333333333,False
MnBr2,35.1508120649652,24.361948955916475,45.47563805104408,35.07347254447023,0,0,6,False,56.540084388185655,51.89873417721519,48.030942334739805,41.77215189873418,6.0,1.0,True
PrCl3,35.150812064965194,22.96983758700696,63.80510440835266,39.1337973704563,0,0,6,False,62.72855133614628,41.0689170182841,77.77777777777777,74.68354430379746,6.0,0.0,False
CeCl3,34.80278422273781,22.73781902552204,63.10904872389791,38.78576952822892,0,0,6,False,62.51758087201125,40.50632911392405,77.56680731364276,74.54289732770746,6.0,0.0,False
TlF3,34.45475638051044,25.986078886310903,63.341067285382834,38.43774168600155,0,0,6,False,68.49507735583684,63.29113924050633,83.19268635724333,80.59071729957806,6.0,1.0,False
VBr2,34.45475638051044,24.593967517401392,45.243619489559165,34.33874709976798,0,0,6,False,55.83684950773558,51.61744022503516,47.25738396624472,42.05344585091421,6.0,1.0,True
LaCl3,34.33874709976798,22.041763341067284,62.87703016241299,38.2830626450116,0,0,6,False,62.30661040787624,40.22503516174402,77.00421940928271,74.26160337552743,6.0,0.0,False
PuCl3,34.222737819025525,21.57772621809745,62.41299303944315,37.97370456303171,0,0,6,False,62.16596343178622,39.943741209564,77.28551336146273,74.40225035161744,6.0,0.0,False
TbF3,34.222737819025525,17.16937354988399,58.23665893271461,36.69760247486466,0,0,6,False,50.14064697609001,31.08298171589311,75.10548523206751,71.16736990154712,6.0,1.0,False
PbCl2,34.106728538283065,27.1461716937355,41.9953596287703,34.53209590100541,0,0,6,False,24.68354430379747,22.644163150492265,29.88748241912799,29.39521800281294,6.0,0.25,True
NpCl3,34.106728538283065,21.809744779582367,62.64501160092807,38.0123743232792,0,0,6,False,62.025316455696206,40.08438818565401,76.72292545710266,73.9803094233474,6.0,0.0,False
MnCl2,33.990719257540604,25.05800464037123,45.011600928074245,34.261407579273005,0,0,6,False,55.69620253164557,45.28832630098453,44.65541490857946,42.897327707454295,6.0,1.0,True
MnI2,33.990719257540604,23.897911832946637,44.5475638051044,33.68136117556071,0,0,6,False,54.85232067510548,52.18002812939522,48.452883263009845,43.03797468354431,6.0,1.0,True
YbF3,33.64269141531322,21.34570765661253,60.32482598607889,36.620262954369686,0,0,6,False,55.97749648382559,34.59915611814346,79.957805907173,74.40225035161744,6.0,1.0,False
BaF2,33.17865429234339,22.96983758700696,42.92343387470998,33.56535189481826,0,0,6,False,22.573839662447256,20.53445850914205,27.77777777777777,26.72292545710267,6.0,1.0,True
AcBr3,33.17865429234339,20.417633410672853,61.94895591647332,37.08430007733952,0,0,6,False,59.91561181434599,39.24050632911392,77.0042194092827,74.1209563994374,6.0,0.0,False
LaBr2,33.06264501160093,21.34570765661253,39.443155452436194,32.71461716937355,0,0,6,False,36.42756680731364,33.61462728551336,39.31082981715893,32.34880450070324,6.0,1.0,True
SrBr2,32.83062645011601,32.01856148491879,34.5707656612529,33.1399845320959,0,0,6,False,27.566807313642755,25.59774964838256,34.31786216596343,30.801687763713083,6.0,0.0,False
SrI2,32.83062645011601,29.466357308584683,33.64269141531322,32.32791956689868,0,0,6,False,27.285513361462726,25.457102672292542,34.036568213783404,30.52039381153305,6.0,0.0,False
